tmID,year,coachID,coachStint,confID,playerID,stint,lgID
ATL,11,meadoma99w,0,EA,balesal01w,0,WNBA
ATL,11,meadoma99w,0,EA,castriz01w,0,WNBA
ATL,11,meadoma99w,0,EA,desouer01w,0,WNBA
ATL,11,meadoma99w,0,EA,hardili01w,0,WNBA
ATL,11,meadoma99w,0,EA,irvinsa01w,0,WNBA
ATL,11,meadoma99w,0,EA,lehnish01w,0,WNBA
ATL,11,meadoma99w,0,EA,lyttlsa01w,0,WNBA
ATL,11,meadoma99w,0,EA,mazzake01w,0,WNBA
ATL,11,meadoma99w,0,EA,mccouan01w,0,WNBA
ATL,11,meadoma99w,0,EA,milleco01w,0,WNBA
ATL,11,meadoma99w,0,EA,parisco01w,0,WNBA
ATL,11,meadoma99w,0,EA,pricear01w,0,WNBA
CHI,11,chatmda99w,0,EA,bjorkan01w,0,WNBA
CHI,11,chatmda99w,0,EA,cantydo01w,0,WNBA
CHI,11,chatmda99w,0,EA,fowlesy01w,0,WNBA
CHI,11,chatmda99w,0,EA,kraayca01w,0,WNBA
CHI,11,chatmda99w,0,EA,murphsh01w,0,WNBA
CHI,11,chatmda99w,0,EA,princep01w,0,WNBA
CHI,11,chatmda99w,0,EA,snowmi01w,0,WNBA
CHI,11,chatmda99w,0,EA,swordca01w,0,WNBA
CHI,11,chatmda99w,0,EA,thorner01w,0,WNBA
CHI,11,chatmda99w,0,EA,vandeco01w,0,WNBA
CHI,11,chatmda99w,0,EA,wisdoli01w,0,WNBA
CHI,11,chatmda99w,0,EA,youngta01w,0,WNBA
CON,11,thibami99w,0,EA,brelaje01w,0,WNBA
CON,11,thibami99w,0,EA,charlti01w,0,WNBA
CON,11,thibami99w,0,EA,greenka01w,0,WNBA
CON,11,thibami99w,0,EA,griffke01w,0,WNBA
CON,11,thibami99w,0,EA,hightal01w,0,WNBA
CON,11,thibami99w,0,EA,jonesas01w,0,WNBA
CON,11,thibami99w,0,EA,lawsoka01w,0,WNBA
CON,11,thibami99w,0,EA,mccrada01w,0,WNBA
CON,11,thibami99w,0,EA,montgre01w,0,WNBA
CON,11,thibami99w,0,EA,mooreje01w,0,WNBA
CON,11,thibami99w,0,EA,walkede01w,0,WNBA
CON,11,thibami99w,0,EA,whiteta01w,0,WNBA
IND,11,dunnli99wc,0,EA,bobbish01w,0,WNBA
IND,11,dunnli99wc,0,EA,catchta01w,0,WNBA
IND,11,dunnli99wc,0,EA,davenje01w,0,WNBA
IND,11,dunnli99wc,0,EA,douglka01w,0,WNBA
IND,11,dunnli99wc,0,EA,elysh01w,0,WNBA
IND,11,dunnli99wc,0,EA,januabr01w,0,WNBA
IND,11,dunnli99wc,0,EA,philler01w,0,WNBA
IND,11,dunnli99wc,0,EA,pohleje01w,0,WNBA
IND,11,dunnli99wc,0,EA,smithta01w,0,WNBA
IND,11,dunnli99wc,0,EA,suttota01w,0,WNBA
IND,11,dunnli99wc,0,EA,zellosh01w,0,WNBA
LAS,11,bryanjo01w,0,WE,hoffmeb01w,0,WNBA
LAS,11,bryanjo01w,0,WE,lacyna01w,0,WNBA
LAS,11,bryanjo01w,0,WE,lavenja01w,0,WNBA
LAS,11,bryanjo01w,0,WE,miltode01w,0,WNBA
LAS,11,bryanjo01w,0,WE,oheaje01w,0,WNBA
LAS,11,bryanjo01w,0,WE,parkeca01w,0,WNBA
LAS,11,bryanjo01w,0,WE,penicti01w,0,WNBA
LAS,11,bryanjo01w,0,WE,pringla01w,0,WNBA
LAS,11,bryanjo01w,0,WE,quinnno01w,0,WNBA
LAS,11,bryanjo01w,0,WE,thompti01w,0,WNBA
LAS,11,bryanjo01w,0,WE,tolivkr01w,0,WNBA
LAS,11,gilloje01w,0,WE,hoffmeb01w,0,WNBA
LAS,11,gilloje01w,0,WE,lacyna01w,0,WNBA
LAS,11,gilloje01w,0,WE,lavenja01w,0,WNBA
LAS,11,gilloje01w,0,WE,miltode01w,0,WNBA
LAS,11,gilloje01w,0,WE,oheaje01w,0,WNBA
LAS,11,gilloje01w,0,WE,parkeca01w,0,WNBA
LAS,11,gilloje01w,0,WE,penicti01w,0,WNBA
LAS,11,gilloje01w,0,WE,pringla01w,0,WNBA
LAS,11,gilloje01w,0,WE,quinnno01w,0,WNBA
LAS,11,gilloje01w,0,WE,thompti01w,0,WNBA
LAS,11,gilloje01w,0,WE,tolivkr01w,0,WNBA
MIN,11,reevech99w,0,WE,adairje01w,0,WNBA
MIN,11,reevech99w,0,WE,augusse01w,0,WNBA
MIN,11,reevech99w,0,WE,brunsre01w,0,WNBA
MIN,11,reevech99w,0,WE,harriam01w,0,WNBA
MIN,11,reevech99w,0,WE,hornbal01w,0,WNBA
MIN,11,reevech99w,0,WE,houstch01w,0,WNBA
MIN,11,reevech99w,0,WE,mcwilta01w,0,WNBA
MIN,11,reevech99w,0,WE,moorema01w,0,WNBA
MIN,11,reevech99w,0,WE,whaleli01w,0,WNBA
MIN,11,reevech99w,0,WE,wiggica01w,0,WNBA
MIN,11,reevech99w,0,WE,wrighmo01w,0,WNBA
NYL,11,whisejo99w,0,EA,braxtka01w,0,WNBA
NYL,11,whisejo99w,0,EA,brelaje01w,0,WNBA
NYL,11,whisejo99w,0,EA,carsoes01w,0,WNBA
NYL,11,whisejo99w,0,EA,chestfe01w,0,WNBA
NYL,11,whisejo99w,0,EA,colsosy01w,0,WNBA
NYL,11,whisejo99w,0,EA,holliqu01w,0,WNBA
NYL,11,whisejo99w,0,EA,mitchle01w,0,WNBA
NYL,11,whisejo99w,0,EA,montgal01w,0,WNBA
NYL,11,whisejo99w,0,EA,phillta02w,0,WNBA
NYL,11,whisejo99w,0,EA,pierspl01w,0,WNBA
NYL,11,whisejo99w,0,EA,pondeca01w,0,WNBA
NYL,11,whisejo99w,0,EA,powelni01w,0,WNBA
NYL,11,whisejo99w,0,EA,spencsi01w,0,WNBA
NYL,11,whisejo99w,0,EA,vaughki01w,0,WNBA
PHO,11,gaineco01w,0,WE,bonnede01w,0,WNBA
PHO,11,gaineco01w,0,WE,braxtka01w,0,WNBA
PHO,11,gaineco01w,0,WE,dupreca01w,0,WNBA
PHO,11,gaineco01w,0,WE,ferdima01w,0,WNBA
PHO,11,gaineco01w,0,WE,graylal01w,0,WNBA
PHO,11,gaineco01w,0,WE,johnste01w,0,WNBA
PHO,11,gaineco01w,0,WE,sanfona01w,0,WNBA
PHO,11,gaineco01w,0,WE,sanniol01w,0,WNBA
PHO,11,gaineco01w,0,WE,spencsi01w,0,WNBA
PHO,11,gaineco01w,0,WE,swanike01w,0,WNBA
PHO,11,gaineco01w,0,WE,tauradi01w,0,WNBA
PHO,11,gaineco01w,0,WE,taylope01w,0,WNBA
PHO,11,gaineco01w,0,WE,thomakr01w,0,WNBA
SAS,11,hugheda99w,0,WE,adamsda01w,0,WNBA
SAS,11,hugheda99w,0,WE,appelja01w,0,WNBA
SAS,11,hugheda99w,0,WE,beviltu01w,0,WNBA
SAS,11,hugheda99w,0,WE,hammobe01w,0,WNBA
SAS,11,hugheda99w,0,WE,hodgero01w,0,WNBA
SAS,11,hugheda99w,0,WE,perkiji01w,0,WNBA
SAS,11,hugheda99w,0,WE,phillpo01w,0,WNBA
SAS,11,hugheda99w,0,WE,rileyru01w,0,WNBA
SAS,11,hugheda99w,0,WE,robinda01w,0,WNBA
SAS,11,hugheda99w,0,WE,youngso01w,0,WNBA
SEA,11,aglerbr99w,0,WE,birdsu01w,0,WNBA
SEA,11,aglerbr99w,0,WE,cashsw01w,0,WNBA
SEA,11,aglerbr99w,0,WE,ibekwif01w,0,WNBA
SEA,11,aglerbr99w,0,WE,jacksla01w,0,WNBA
SEA,11,aglerbr99w,0,WE,kobryew01w,0,WNBA
SEA,11,aglerbr99w,0,WE,littlca01w,0,WNBA
SEA,11,aglerbr99w,0,WE,quiglal01w,0,WNBA
SEA,11,aglerbr99w,0,WE,robinas01w,0,WNBA
SEA,11,aglerbr99w,0,WE,smithka01w,0,WNBA
SEA,11,aglerbr99w,0,WE,snellbe01w,0,WNBA
SEA,11,aglerbr99w,0,WE,thomakr01w,0,WNBA
SEA,11,aglerbr99w,0,WE,willile01w,0,WNBA
SEA,11,aglerbr99w,0,WE,wrighta01w,0,WNBA
TUL,11,edwarte01w,0,WE,ayimmi01w,0,WNBA
TUL,11,edwarte01w,0,WE,camba01w,0,WNBA
TUL,11,edwarte01w,0,WE,chriska02w,0,WNBA
TUL,11,edwarte01w,0,WE,hodgedo01w,0,WNBA
TUL,11,edwarte01w,0,WE,holtam01w,0,WNBA
TUL,11,edwarte01w,0,WE,jacksti02w,0,WNBA
TUL,11,edwarte01w,0,WE,jonesma01w,0,WNBA
TUL,11,edwarte01w,0,WE,lacyje01w,0,WNBA
TUL,11,edwarte01w,0,WE,lattaiv01w,0,WNBA
TUL,11,edwarte01w,0,WE,lennobe01w,0,WNBA
TUL,11,edwarte01w,0,WE,monroja01w,0,WNBA
TUL,11,edwarte01w,0,WE,olajuab01w,0,WNBA
TUL,11,edwarte01w,0,WE,pederka01w,0,WNBA
TUL,11,edwarte01w,0,WE,reedch01w,0,WNBA
TUL,11,edwarte01w,0,WE,rileyan01w,0,WNBA
TUL,11,edwarte01w,0,WE,swoopsh01w,0,WNBA
TUL,11,richano99w,0,WE,ayimmi01w,0,WNBA
TUL,11,richano99w,0,WE,camba01w,0,WNBA
TUL,11,richano99w,0,WE,chriska02w,0,WNBA
TUL,11,richano99w,0,WE,hodgedo01w,0,WNBA
TUL,11,richano99w,0,WE,holtam01w,0,WNBA
TUL,11,richano99w,0,WE,jacksti02w,0,WNBA
TUL,11,richano99w,0,WE,jonesma01w,0,WNBA
TUL,11,richano99w,0,WE,lacyje01w,0,WNBA
TUL,11,richano99w,0,WE,lattaiv01w,0,WNBA
TUL,11,richano99w,0,WE,lennobe01w,0,WNBA
TUL,11,richano99w,0,WE,monroja01w,0,WNBA
TUL,11,richano99w,0,WE,olajuab01w,0,WNBA
TUL,11,richano99w,0,WE,pederka01w,0,WNBA
TUL,11,richano99w,0,WE,reedch01w,0,WNBA
TUL,11,richano99w,0,WE,rileyan01w,0,WNBA
TUL,11,richano99w,0,WE,swoopsh01w,0,WNBA
WAS,11,laceytr99w,0,EA,ajavoma01w,0,WNBA
WAS,11,laceytr99w,0,EA,anosini01w,0,WNBA
WAS,11,laceytr99w,0,EA,cheekjo01w,0,WNBA
WAS,11,laceytr99w,0,EA,chriska02w,0,WNBA
WAS,11,laceytr99w,0,EA,colemma01w,0,WNBA
WAS,11,laceytr99w,0,EA,currimo01w,0,WNBA
WAS,11,laceytr99w,0,EA,dunlavi01w,0,WNBA
WAS,11,laceytr99w,0,EA,gardike01w,0,WNBA
WAS,11,laceytr99w,0,EA,langhcr01w,0,WNBA
WAS,11,laceytr99w,0,EA,milleke01w,0,WNBA
WAS,11,laceytr99w,0,EA,phillta02w,0,WNBA
WAS,11,laceytr99w,0,EA,thomaja01w,0,WNBA
WAS,11,laceytr99w,0,EA,walkede01w,0,WNBA
